shortname,name,content
komnr,Kommunenr,
navn,Navn,
dt_egg,Distriktstilskudd egg,
dt_fjorfe,Distriktstilskudd fjorfe,
dt_kjott,Distriktstilskudd kjøtt,
dt_gris,Distriktstilskudd gris,
gt_kjott,Grunntilskudd kjøtt,
t_norskull,Tilskudd norsk ull,
t_norskskinn,Tilskudd norsk skinn,
dt_melk,Distriktstilskudd melk,
gt_melk,Grunntilskudd melk,
kt_storfe,Kvalitetstilskudd storfe,
sum_t,Sum tilskudd,
orgnr,Organisasjonsnummer,"Organisasjonsnummer brukes for å identifisere juridiske personer (enheter), i Norge, og tildeles ved registrering i Enhetsregisteret. Organisasjonsnummeret består av ni siffer og starter på tallet 8 eller 9. http://www.brreg.no/samordning/organisasjonsnummeret.html"
