shortname,name,content
organisasjonsnummer,Organisasjonsnummer,
navn,Navn,
kommunenummer,Kommunenummer,
driftstilskudd til melkeproduksjon,Driftstilskudd til melkeproduksjon,
driftstilskudd til kjøttfeproduksjon,Driftstilskudd til kjøttfeproduksjon,
tilskudd til husdyr,Tilskudd til husdyr,
tilskudd til lammeslakt,Tilskudd til lammeslakt,
distrikts- og kvalitetstilskudd til grøntproduksjon,Distrikts- og kvalitetstilskudd til grøntproduksjon,
distriktstilskudd for produksjon av matpoteter,Distriktstilskudd for produksjon av matpoteter,
tilskudd til bevaringsverdige storferaser,Tilskudd til bevaringsverdige storferaser,
tilskudd til økologisk landbruk – husdyrtilskudd,Tilskudd til økologisk landbruk – husdyrtilskudd,
tilskudd til avløsning ved ferie og fritid,Tilskudd til avløsning ved ferie og fritid,
bunnfradrag,Bunnfradrag,
sum tilskudd,Sum tilskudd,
