soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2020,11,4207,969373483,1111,5,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,220,DEKAR,9,1980,Regionalt prioriterte kulturlandskap
2020,11,4207,969373483,1111,5,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,330,DEKAR,3,990,Regionalt prioriterte kulturlandskap
2020,11,4207,969373483,1111,5,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:5,165,DEKAR,5,825,Regionalt prioriterte kulturlandskap
2020,11,4207,969373483,1111,5,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,130,DEKAR,3,390,Regionalt prioriterte kulturlandskap
2020,11,4207,969373483,1111,5,2,0,Kulturminner og kulturmiljoeer,Skjoetsel av bakkemurer,Skjoetsel av bakkemurer,18,METER,43,774,Nyere tids kulturminner
2020,11,4228,913513134,,,,,Kulturlandskap,Drift av beitelag,Smaafe,17,ANTALL_DYR,612,10404,Opprettholde kulturlandskapet
2020,11,3825,999278337,,,,,Kulturlandskap,Drift av beitelag,Smaafe,10,ANTALL_DYR,1400,14000,Opprettholde kulturlandskapet
2020,11,3825,999276407,,,,,Kulturlandskap,Drift av beitelag,Smaafe,10,ANTALL_DYR,1775,17750,Opprettholde kulturlandskapet
2020,11,3825,970574565,,,,,Kulturlandskap,Drift av beitelag,Smaafe,10,ANTALL_DYR,872,8720,Opprettholde kulturlandskapet
2020,11,3825,970569979,,,,,Kulturlandskap,Drift av beitelag,Smaafe,10,ANTALL_DYR,1459,14590,Opprettholde kulturlandskapet
2020,11,1108,999659748,,,,,Kulturlandskap,Drift av beitelag,Smaafe,20,ANTALL_DYR,1649,32980,Opprettholde kulturlandskapet
2020,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,70,DEKAR,3,210,Regionalt prioriterte kulturlandskap
2020,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,70,DEKAR,1,70,Regionalt prioriterte kulturlandskap
2020,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:5,70,DEKAR,51,3570,Regionalt prioriterte kulturlandskap
2020,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:3,70,DEKAR,74,5180,Regionalt prioriterte kulturlandskap
2020,11,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Smaafe,20,ANTALL_DYR,790,15800,Opprettholde kulturlandskapet
2020,11,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Hest/storfe,20,ANTALL_DYR,30,600,Opprettholde kulturlandskapet
2020,11,1121,999580823,1121,30,1,0,Utslipp til luft,Nedfelling eller nedlegging av husdyrgjoedsel,Nedfelling eller nedlegging av husdyrgjoedsel,75,DEKAR,283,21225,Miljoevennlig spredning av husdyrgjoedsel
2020,11,1121,999580823,1121,30,1,0,Utslipp til luft,Spredning av husdyrgjoedsel med tilfoerselsslange,Spredning av husdyrgjoedsel med tilfoerselsslange,50,DEKAR,283,14150,Miljoevennlig spredning av husdyrgjoedsel
