orgnr;navn;ft_egg;ft_kornkraft;ft_slakt;t_matkorn;t_prisnedkorn
811747912;FOLLEBU BRUK AS;;;;;476135
812358812;NORSK URKORN AS;;;;4886;
846170642;ØSTFOLDKORN SA;;;;;40696158
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;18517401
872406492;YTRE NORDMØRE SLAKTERI AS;;; 416 814 ;;
880524992;RØV MØLLE AS;;2170676;;;
885209432;PRIMA JÆREN SLAKT AS;;; 864 504 ;;
885719422;NORGESMØLLENE AS;;;;31724076;
886383932;JENS EIDE SLAKTERI AS;;; 1 258 300 ;;
886721382;KVELDE MEL AS;;;;187310;
910629085;LANTMANNEN CEREALIA AS;;;;24980696;
910735802;VESTFOLDMØLLENE AS;;312697;;;27237056
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;10203700
911608103;FELLESKJØPET AGRI SA;;147837126;;;369541339
911745879;BØ GÅRDSSLAKTERI ;;; 78 354 ;;
913077903;HURUM MØLLE AS;;;;;1661507
913251342;FATLAND JÆREN AS;;; 1 482 550 ;;
913945603;CARDINAL FOODS SKI  AS;357459;;;;
913980484;OTTADALEN MØLLE SA;;6272340;;66716;1248282
914250757;JONAS H. MELING AS;42638;;;;
915398251;OLE RINGDAL AS;;; 1 500 046 ;;
915442552;FELLESKJØPET ROGALAND AGDER SA;;15170536;;;4471901
915470750;FELLESKJØPET NORDMØRE OG ROMSDAL BA;;2830893;;;16561
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;8261356
916329717;STRAND UNIKORN AS;;7377236;;;67335536
916465149;HURRAN VILLSAU;;; 7 972 ;;
917225168;VOLDA ELEKTRISKE MYLNE AS;;8230;;15883;
930054968;FATLAND ØLEN AS;;; 7 103 751 ;;
934097238;FURUSETH AS;;; 3 740 385 ;;
934469801;FATLAND OSLO AS;;; 2 163 232 ;;
934649788;HURUM MØLLE;;;;;425448
936070612;DALEBAKKEN MØLLE AS;;664255;;;
938639604;LØTEN MØLLE AS;;218135;;;6357597
938752648;NORTURA SA;8158200;; 102 277 148 ;;
939242171;TRYGVE BROVOLD AS;;; 32 298 ;;
947097733;DALPRO AS;;; 51 217 ;;
947525239;ALTERNATIV MAT AS;;;;4935;159019
947979248;RØROS SLAKTERI;;; 1 120 410 ;;
950121718;VESTBY MØLLE OG KORNSILO AS;;;;;7511322
950381442;HORNS SLAKTERI AS;;; 3 677 779 ;;
952971441;STANGELAND MØLLE;;47784;;1036849;
953852675;ORKLA KORNSILO OG MØLNE SA;;755996;;;7417289
959079420;RINGERIKES KORNSILO SA;;;;;17776859
964878080;SKJELFOSS KORN A/S;;;;;12702605
967060291;HUNDSETH MØLLE AS;;2316696;;;2369981
968250698;FISKÅ MØLLE ETNE AS;;3482540;;;7153
968410199;MØLLEHUSET AS;;539811;;952801;
968932683;MIDTNORGE SLAKTERI AS;;; 3 879 303 ;;
975856844;FISKÅ MØLLE AS;;21193978;;;367001
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;3140785
980663515;VINSTRA BRUK AS;;321476;;;742071
981450795;JÆREGG AS;2112;;;;
981682955;NORDFJORD KJØTT SLAKT AS;;; 1 420 827 ;;
984109008;FISKÅ MØLLE TRØNDELAG AS;;1334695;;;6545422
984155913;NORGANIC AS;;;;17173;
984669127;FISKÅ MØLLE MOSS  AS;;9729829;;;29678099
985152861;ØRE VILT SA;;; 123 488 ;;
985742324;HURRAN VILLSAU;;; 3 733 ;;
987098724;GJØLSTAD GÅRD AS;;;;;1077512
987634723;ØSTMØLLENE AS;;;;;18738986
988300020;SLAKTEHUSET EIDSMO DULLUM AS;;; 1 867 086 ;;
988743348;SYLTE GÅRDSSLAKTERI AS;;; 3 427 ;;
990384029;NESSEBY VILLSAUPRODUKTER SA;;; 6 544 ;;
990494428;STRILALAM SA;;; 49 924 ;;
991436472;VIKJA AS;;; 10 590 ;;
991500839;FLISA MØLLE FLISA AS;;491903;;;11278424
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;; 7 399 ;;
992316691;NORSK SPELT;;;;26436;28185
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;254011
993289620;VOSS GARDSSLAKTERI SA;;; 87 629 ;;
995641445;HOLLI MØLLE AS;;;;40092;730708
996037223;RIAS PAKKERI AS;253278;;;;
996854272;VINJE SLAKTERI AS;;; 26 126 ;;
998760968;BJONEROA MØLLE;;;;;348541
999616798;SANDE KORNMAGASIN AS;;;;;1267775
