orgnr;navn;ft_egg;ft_korn;ft_slakt;t_matkorn;t_prisnedkorn
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;7001188
998760968;BJONEROA MØLLE MARTIN MYHRE;;;;;82366
915703836;BRANSFJELL AS;;;11379;;
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;9877188
911745879;BØ GÅRDSSLAKTERI ARNE EINAR OL;;;121077;;
947097733;DALPRO AS;;;28734;;
980403815;DEN STOLTE HANE AS;84767;;;;
913251342;FATLAND JÆREN AS;;;1451517;;
934469801;FATLAND OSLO AS;;;2672941;;
930054968;FATLAND ØLEN AS;;;6846931;;
910629085;FELLESKJØPET AGRI SA;;;;22476602;
911608103;FELLESKJØPET AGRI SA;;41253313;;;297294373
915442552;FELLESKJØPET ROGALAND AGDER SA;;;;;4126650
975856844;FISKÅ MØLLE AS;;;;;1337596
968250698;FISKÅ MØLLE ETNE AS;;;;;8816
991500839;FISKÅ MØLLE FLISA AS;;;;;12000042
984669127;FISKÅ MØLLE MOSS AS;;11970719;;;28250825
984109008;FISKÅ MØLLE TRØNDELAG AS;;;;;6886137
811747912;FOLLEBU BRUK AS;;;;;353743
934097238;FURUSETH AS;;;4338385;;
987098724;GJØLSTAD GÅRD AS;;;;;2496582
995641445;HOLLI MØLLE AS;;;;142413;370571
950381442;HORNS SLAKTERI AS;;;3858678;;
967060291;HUNDSETH MØLLE AS;;;;;4995022
916465149;HURRAN VILLSAU AINA TARALDSEN;;;4581;;
913077903;HURUM MØLLE AS;;;;;1143869
886383932;JENS EIDE AS;;;1662392;;
914250757;JONAS H MELING AS;117055;;;;
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;;4221;;
886721382;KVELDE MEL AS;;;;95977;
992414782;LARSASTOVA GARDSSLAKTERI;;;50070;;
938639604;LØTEN MØLLE AS;;;;;8745159
979473559;MIDSONA NORGE AS;;;;;34272
968932683;MIDTNORGE SLAKTERI AS;;;4221080;;
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;13680815
968410199;MØLLEHUSET AS;;14302;;47756;
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;1077447
981682955;NORDFJORD KJØTT SLAKT AS;;;1344238;;
984155913;NORGANIC AS;;;;26101;
885719422;NORGESMØLLENE AS;;;;21234286;
992316691;NORSK SPELT AS;;;;27610;63891
918962247;NORSK ØKORAPS AS;;;;;182234
938752648;NORTURA SA;7046128;;106379802;;
912741672;OLE JOHAN ANSTENSRUD;;18698;;42040;
915398251;OLE RINGDAL AS;;;1617392;;
953852675;ORKLA KORNSILO OG MØLNE SA;;;;;7566989
913980484;OTTADALEN MØLLE SA;;;;159644;991654
885209432;PRIMA SLAKT AS;;;898234;;
996037223;RIAS-PAKKERI AS;170401;;;;
959079420;RINGERIKES KORNSILO SA;;;;;9783728
947979248;RØROS SLAKTERI AS;;;1374728;;
999616798;SANDE KORNMAGASIN AS;;;;;825604
964878080;SKJELFOSS KORN AS;;;;;9355461
988300020;SLAKTHUSET EIDSMO DULLUM AS;;;2461291;;
952971441;STANGELAND MØLLE AS;;20107;;2173965;
916329717;STRAND UNIKORN AS;;5606139;;;46450648
990494428;STRILALAM SA;;;42309;;
939242171;TRYGVE BROVOLD AS;;;27819;;
950121718;VESTBY MØLLE & KORNSILO SA;;;;;6353846
910735802;VESTFOLDMØLLENE AS;;;;;15384420
991436472;VIKJA AS;;;40791;;
980663515;VINSTRA BRUK AS;;;;;339727
917225168;VOLDA ELEKTRISKE MYLNE AS;;8135;;21852;
993289620;VOSS GARDSSLAKTERI SA;;;43937;;
872406492;YTRE NORDMØRE SLAKTERI AS;;;462364;;
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;295427
985152861;ØRE VILT SA;;;95168;;
846170642;ØSTFOLDKORN SA;;;;;31046210
987634723;ØSTMØLLENE AS;;;;;14858931
