orgnr;navn;ft_egg;ft_kornkraft;ft_slakt;t_matkorn;t_prisnedkorn
991500839;FISKÅ MØLLE FLISA AS;;530273;;;8297273
915470750;FELLESKJØPET NORDMØRE OG ROMSDAL SA;;2555408;;;568563
967060291;HUNDSETH MØLLE AS;;1618363;;;2985673
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;1838507
915442552;FELLESKJØPET ROGALAND AGDER SA;;14221365;;;3445172
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;5064770
938639604;LØTEN MØLLE AS;;134573;;;3464390
950121718;VESTBY MØLLE OG KORNSILO A/L;;;;;4748700
959416516;A/L SANDE KORNMAGASIN;;;;;862548
968250698;FISKÅ MØLLE ETNE AS;;2619271;;;8345
846170642;ØSTFOLDKORN SA;;4837;;;21460022
980663515;VINSTRA BRUK AS;;801477;;;243252
984109008;FISKÅ MØLLE TRØNDERLAG AS;;849582;;;3541622
880524992;RØV MØLLE AS;;;;;1084239
910735802;VESTFOLDMØLLENE AS;;270530;;;15996034
911608103;FELLESKJØPET AGRI SA;;117886658;;;207972678
975856844;FISKÅ MØLLE AS TAU;;15378974;;;202504
811747912;FOLLEBU BRUK AS;;7257;;;274222
947525239;ALMA NORGE AS;;;;8238;87935
971213078;LEKUM MØLLE  AS;;;;;413313
984669127;FISKÅ MØLLE MOSS  AS;;8901501;;;16536625
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;8587236
913980484;OTTADALEN MØLLE SA;;5616846;;34271;618550
959079420;RINGERIKES KORNSILO SA;;;;;8728360
970391215;ARNKVÆRN MØLLE;;;;;181642
987634723;ØSTMØLLENE AS;;;;;8056687
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;83722
916329717;STRAND UNIKORN AS;;9145942;;;35900759
953455730;HADELAND KORNSILO OG MØLLE SA;;379162;;;5307396
953852675;ORKLA KORNSILO OG MØLNE SA;;716485;;;4894270
998760968;BJONEROA MØLLE MARTIN MYHRE;;;;;127931
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;7778401
934649788;HURUM MØLLE;;;;;1125861
964878080;SKJELFOSS KORN AS;;;;;5395478
992316691;NORSK SPELT AS;;;;4917;
886721382;KVELDE MEL AS;;;;184391;
929956273;ANS MØRE OG ROMSDAL KORNSILO;;89677;;;
910629085;LANTMANNEN CEREALIA AS;;;;18782421;
952971441;STANGELAND MØLLE AS;;;;382098;
968410199;MØLLEHUSET AS;;163174;;392925;
984155913;NORGANIC AS;;;;18689;
885719422;NORGESMØLLENE AS;;;;22126994;
936070612;DALEBAKKEN AS;;468554;;;
970065458;FOSSAN MØLLE;;;;1589;
917225168;VOLDA ELEKTRISKE MYLNE AS;;7796;;9767;
916232454;STEINKJER KORNSILO SA;;;;2465;
914250757;JONAS H. MELING AS;89973;;;;
996037223;RIAS PAKKERI AS;81977;;;;
938752648;NORTURA SA;5788994;;;;
913945603;CARDINAL FOODS SKI  AS;440049;;;;
993289620;VOSS GARDSSLAKTERI SA;;;34643;;
975956962;HANDELSHUSET OVE STORSLETT AS;;;73746;;
872406492;YTRE NORDMØRE SL A/S;;;680493;;
988300020;SLAKTHUSET EIDSMO DULLUM A/S;;;2423263;;
947097733;DALPRO AS;;;20370;;
981682955;NORDFJORD KJØTT SLAKT AS;;;1284058;;
886383932;JENS EIDE SLAKTERI AS;;;1159283;;
913251342;FATLAND JÆREN AS;;;1316285;;
930054968;FATLAND ØLEN AS;;;8742498;;
994296914;HELGELAND SAMVIRKESLAKTERI AS;;;437059;;
934097238;FURUSETH AS;;;2468239;;
987352779;FROLAND SLAKTERI AS;;;544644;;
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;;5156;;
939242171;TRYGVE BROVOLD AS;;;15500;;
985742324;HURRAN VILLSAU KJELL-ARNE TARALDSEN;;;24022;;
934469801;FATLAND OSLO AS;;;1571890;;
950381442;HORNS SLAKTERI AS;;;5083638;;
985152861;ØRE VILT SA;;;115079;;
968932683;MIDTNORGE SLAKTERI AS;;;3341175;;
996854272;VINJE SLAKTERI AS;;;4030;;
996107620;PRUGLHEI GÅRD V/MARTE PRUGLHEI ;;;83;;
915398251;OLE RINGDAL AS;;;2062196;;
991436472;VIKJA A/S;;;358;;
938752648;NORTURA SA;;;103725396;;
947979248;RØROS SLAKTERI;;;1475003;;
885209432;PRIMA SLAKT AS;;;316897;;
