orgnr,navn,frakttilskudd_egg,frakttilskudd_korn,frakttilskudd_slakt,matkorntilskudd,prisnedskriving_korn,prisnedskriving_korn_importerte_karboraavarer
915613713,AS RÅDE MØLLE OG KORNSILO,,,,,16926752,
920000185,BERG - GÅRD AS,,,2661,,,
918707867,BONSAK AS,,31755,,68137,284864,
910776703,BRASKEREIDFOSS KORNSILO SA,,,,,32760987,
921139233,BØ GÅRDSSLAKTERI AS,,,104353,,,
947097733,DALPRO AS,,,63110,,,
980403815,DEN STOLTE HANE AS,68258,,,,,
915039537,DØLSVEEN SØNDRE-GÅRDSSLAKTERI,,,1710,,,
913251342,FATLAND JÆREN AS,,,2196137,,,
934469801,FATLAND OSLO AS,,,4338302,,,
930054968,FATLAND ØLEN AS,,,7491778,,,
911608103,FELLESKJØPET AGRI SA,,59985024,,,837729866,125070864
915442552,FELLESKJØPET ROGALAND AGDER SA,,,,,18832730,51950064
975856844,FISKÅ MØLLE AS,,210457,,,12043170,43817756
968250698,FISKÅ MØLLE ETNE AS,,,,,16196,
991500839,FISKÅ MØLLE FLISA AS,,,,,35193520,
984669127,FISKÅ MØLLE MOSS  AS,,11194493,,,74588430,
984109008,FISKÅ MØLLE TRØNDERLAG AS,,,,,26088076,
811747912,FOLLEBU BRUK AS,,,,,1786509,
934097238,FURUSETH AS,,,4181356,,,
928139522,GARDSSLAKTERIET AS,,,82273,,,
918340998,GJULEM AGRO AS,,,,,3017033,
987098724,GJØLSTAD GÅRD AS,,,,,4513746,
915590314,GULLIMUNN AS,,,,20238,,
924730846,HAFJELL SLAKTERI,,,172935,,,
969184710,HERBJÆRN KOLSTAD,,,,,1446105,
995641445,HOLLI MØLLE AS,,189397,,503690,2017492,
950381442,HORNS SLAKTERI AS,,,4344583,,,
967060291,HUNDSETH MØLLE AS,,,,,6523338,
913077903,HURUM MØLLE AS,,,,,3319740,
886383932,JENS EIDE AS,,,2604175,,,
916931182,JÆRMALT KLEPP,,,,28232,548948,
886721382,KVELDE MØLLE AS,,,,130776,,
910629085,LANTMÄNNEN CEREALIA  AS,,,,35641140,515273,
992414782,LARSASTOVA GARDSSLAKTERI,,,100175,,,
938639604,LØTEN MØLLE AS,,,,,17218608,
979473559,MIDSONA NORGE A/S,,,,2102,,
968932683,MIDTNORGE SLAKTERI AS,,,4843767,,,
988939935,MOBILSLAKT AS,,,2797,,,
851970452,MYSEN KORNSILO OG MØLLE SA,,,,,41236386,
968410199,MØLLEHUSET AS,,33540,,48810,,
977175062,MØRK ENGEBRETSEN INVEST AS,,,,,6505162,
973860003,NJK MOBILSLAKT,,,21238,,,
981682955,NORDFJORD KJØTT SLAKT AS,,,2538778,,,
984155913,NORGANIC AS,,11877,,81807,,
885719422,NORGESMØLLENE AS,,,,47530821,,
992316691,NORSK SPELT AS,,,,32542,192261,
918962247,NORSK ØKORAPS AS,,,,,1861849,
938752648,NORTURA SA,7285284,,,,,
938752648,NORTURA SA,,,115669204,,,
912741672,OLE JOHAN ANSTENSRUD,,76114,,,,
915398251,OLE RINGDAL AS,,,1534061,,,
921139888,OPDAL NORDRE GÅRDSSLAKTERI AS,,,1298,,,
953852675,ORKLA KORNSILO OG MØLNE SA,,,,,14587429,
913980484,OTTADALEN MØLLE SA,,,,103164,3735275,
885209432,PRIMA SLAKT AS,,,1350307,,,
996037223,RIAS-PAKKERI AS,89945,,,,,
959079420,RINGERIKES KORNSILO SA,,,,,39046870,
947979248,RØROS SLAKTERI AS,,,1952318,,,
880524992,RØV MØLLE AS,,,,,608676,
964878080,SKJELFOSS KORN A/S,,,,,42797720,
988300020,SLAKTHUSET EIDSMO DULLUM AS,,,3433002,,,
952971441,STANGELAND MØLLE AS,,7702,,1800561,,
916329717,STRAND UNIKORN AS,,6454040,,,159461257,12495730
990494428,STRILALAM SA,,,34275,,,
921146620,TO GODE NABOER,,,,,39424,
924350776,TVETER GÅRD FOREDLING AS,,23623,,155934,1622699,
950121718,VESTBY MØLLE & KORNSILO SA,,,,,23704491,
910735802,VESTFOLDMØLLENE AS,,,,,56468868,
991436472,VIKJA AS,,,33323,,,
980663515,VINSTRA BRUK AS,,,,,1641668,
917225168,VOLDA ELEKTRISKE MYLNE AS,,12379,,23347,,
993289620,VOSS GARDSSLAKTERI SA,,,30431,,,
872406492,YTRE NORDMØRE SLAKTERI AS,,,495483,,,
993055042,ØKOLOGISK SPESIALKORN SKANDINAVIA AS,,,,,122390,
985152861,ØRE VILT SA,,,52278,,,
846170642,ØSTFOLDKORN SA,,,,,102446463,
987634723,ØSTMØLLENE AS,,,,,46000894,
