shortname,name,content
orgnr,Organisasjonsnummer,
navn,Navn,
komnr,Kommunenummer,
bygg_for_kg,Bygg fôr kg,
bygg_sakorn_kg,Bygg såkorn kg,
erter_for_kg,Erter fôr kg,
erter_sakorn_kg,Erter såkorn kg,
havre_for_kg,Havre fôr kg,
havre_sakorn_kg,Havre såkorn kg,
hvete_for_kg,Hvete fôr kg,
hvete_mat_kg,Hvete mat kg,
hvete_sakorn_kg,Hvete såkorn kg,
oljefro_kg,Oljefrø kg,
oljefro_sakorn_kg,Oljefrø såkorn kg,
rug_for_kg,Rug fôr kg,
rug_mat_kg,Rug mat kg,
rug_sakorn_kg,Rug såkorn kg,
rughvete_for_kg,Rughvete fôr kg,
rughvete_sakorn_kg,Rughvete såkorn kg,
